Model,Question,Question Type,Expected Answer,Generated Answer,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB)
BF16,Which is longer: 'Artificial Intelligence Fundamentals' or 'Getting Started with Artificial Intelligence'?,comparative,'Artificial Intelligence Fundamentals' is longer with 10+ hours compared to 3 hours.,"'Artificial Intelligence Fundamentals' has a duration of 10+ hours, which is longer than 'Getting Started with Artificial Intelligence' at 3 hours. Therefore, 'Artificial Intelligence Fundamentals' is the longer credential.",0.13628770358024436,0.3902439024390244,51.28205128205128,0.9301313161849976,0.86120415,0.0,0.43855107,29,5.13,2.761,18.03972101211548,5547.77
BF16,Which course is more comprehensive in duration: 'Machine Learning for Data Science Projects' or 'Data Fundamentals'?,comparative,'Machine Learning for Data Science Projects' with 20+ hours is more comprehensive than 'Data Fundamentals' with 7 hours.,"“Machine Learning for Data Science Projects” has a duration of 20+ hours, which is more comprehensive than “Data Fundamentals” at 7 hours. “Getting Started with Data” is 3 hours long. Therefore, “Machine Learning for Data Science Projects” is the more extensive course.",0.14011697931222913,0.5333333333333333,48.275862068965516,0.9291919469833374,0.86125404,0.0,0.46733925,42,4.735,3.212,20.237322330474854,5541.54
BF16,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,"“Cybersecurity Fundamentals” takes 7.5 hours, while “Getting Started with Cybersecurity” only takes 3 hours. Therefore, “Cybersecurity Fundamentals” requires more time to complete.",0.0,0.4444444444444444,52.94117647058824,0.9194672107696533,0.9132792,0.0,0.43600148,22,5.024,3.125,15.217289447784424,5552.13
BF16,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.","Yes, 'Journey to Cloud: Orchestrating Your Solution' is longer than 'Journey to Cloud: Envisioning Your Solution.' The former requires 20+ hours, while the latter only takes 5 hours.",0.5052947267973926,0.6666666666666666,82.60869565217392,0.9669619798660278,0.9607931,0.0,0.37283728,28,4.778,3.006,16.9318265914917,5543.64
BF16,Which course is shorter: 'Build Your First Chatbot Using IBM watsonx™' or 'Generative AI in Action'?,comparative,'Build Your First Chatbot Using IBM watsonx™' is shorter with 60 minutes compared to 'Generative AI in Action' with 5+ hours.,"'Build Your First Chatbot Using IBM watsonx™' is shorter, with a total course time of 60 minutes, compared to 'Generative AI in Action' and 'IBM Granite Models for Software Development,' both of which also have a 60-minute duration. All three courses have the same duration.",0.24741405053722723,0.5373134328358209,57.14285714285714,0.9313636422157288,0.9271648,0.0,0.6662668,45,5.475,3.021,22.618486881256104,5552.84
BF16,Which course teaches quantum computing with IBM Qiskit?,unanswerable,N/A,"I do not have information about a course that specifically teaches quantum computing with IBM Qiskit. The provided contexts focus on generative AI, data classification, and chatbots using IBM watsonx.",0.0,0.0625,0.0,0.763790488243103,-0.056744445,0.0,0.45407313,30,4.428,2.728,15.9401273727417,5551.48
BF16,What is the cost of the 'Artificial Intelligence Fundamentals' course?,unanswerable,N/A,"I do not have information about the cost of the 'Artificial Intelligence Fundamentals' course. The provided context describes various AI-related courses and their features, but it does not include pricing details.",0.0,0.0,0.0,0.7709034085273743,-0.05460777,0.0,0.36399245,31,5.646,2.643,16.11227035522461,5543.24
BF16,Which course is available in German and focuses on blockchain?,unanswerable,N/A,"I am sorry, but none of the provided courses are available in German and focus on blockchain. The courses cover topics like artificial intelligence fundamentals, data fundamentals, and machine learning. They are offered in multiple languages, but do not include a blockchain specialization.",0.0,0.04444444444444444,0.0,0.7748223543167114,0.0033548176,0.0,0.20819294,43,5.51,2.929,18.37327551841736,5543.18
BF16,Who is the instructor of the 'Getting Started with Cybersecurity' course?,unanswerable,N/A,I do not have information about the instructor of the 'Getting Started with Cybersecurity' course. The provided context describes various cybersecurity credentials but does not list the instructors for each.,0.0,0.0,0.0,0.7731336355209351,-0.026707884,0.0,0.5291587,30,5.153,2.677,14.445353984832764,5545.82
BF16,What is the ISBN number of the textbook used in the 'Data Fundamentals' course?,unanswerable,N/A,I do not have the ISBN number for the textbook used in the 'Data Fundamentals' course. The provided context describes several data-related credentials but does not include information about a specific textbook.,0.0,0.05714285714285715,0.0,0.7696049213409424,-0.002443295,0.0,0.35731536,32,5.093,2.716,15.505680084228516,5543.31
Q4_0,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,The course 'Build Your First Chatbot Using IBM watsonx™' has a total course time of 60 minutes. This duration covers the steps to create conversational chatbots. The course includes hands-on simulation using IBM watsonx.,0.0,0.15,28.57142857142857,0.8533343076705933,0.39823288,1.0,0.71890914,34,10.035,3.976,13.921899557113647,5545.52
Q4_0,Which course introduces the fundamentals of text-to-speech technology using IBM watsonx?,factual,Explore Text to Speech Using IBM watson®,The course “Explore Text to Speech Using IBM watsonx” introduces the fundamentals of text-to-speech technology. It utilizes a hands-on simulation with IBM watsonx to teach you about TTS and generative AI. This course is designed to help you create and refine AI-powered voice systems.,0.07276375309803214,0.21818181818181817,20.833333333333336,0.8665890693664551,0.7267692,0.0,0.7726969,44,2.978,10.346,7.225613355636597,5545.79
Q4_0,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,The credential area of the course 'Getting Started with Cybersecurity' is Cybersecurity. It provides a foundational understanding of cybersecurity key elements and threats. This course covers topics like data privacy and the CIA triad model.,0.0,0.05555555555555556,6.25,0.8285955190658569,0.65636486,1.0,0.71779305,35,2.773,9.33,5.9537882804870605,5552.77
Q4_0,Which course teaches you how to classify data using IBM Granite models?,factual,Classifying Data Using IBM Granite,"The course titled ""Classifying Data Using IBM Granite"" teaches you how to classify data using IBM Granite models. It covers selecting the appropriate model and examining various prompts for text-based data. This course provides methods for classifying data using Granite models.",0.07439991547203502,0.21276595744680848,22.727272727272727,0.8750399351119995,0.85757,1.0,0.63349736,41,2.627,9.95,6.233795881271362,5543.5
Q4_0,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,"The 'Artificial Intelligence Fundamentals' course has a duration of 10+ hours. However, other courses related to artificial intelligence have durations of 3 hours or 60 minutes.",0.0,0.14285714285714288,15.384615384615385,0.8435805439949036,0.4462303,1.0,0.37572926,26,2.863,8.077,6.000289440155029,5546.41
Q4_0,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,The course titled “Build Your First Chatbot Using IBM watsonx” involves hands-on simulation. This course utilizes IBM watsonx to generate code through simple prompts. It focuses on creating conversational chatbots using NLP.,0.09885362316286796,0.35,26.31578947368421,0.8939921855926514,0.83119273,0.0,0.7795875,32,2.67,9.736,6.2126829624176025,5562.48
Q4_0,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,The “Getting Started with Threat Intelligence and Hunting” course discusses both cybersecurity threat intelligence and hands-on learning activities. This course includes learning activities and provides a foundation in threat intelligence and hunting methods. It is a 5-hour online learning experience.,0.07611137668875849,0.2857142857142857,27.272727272727277,0.8934088349342346,0.7980391,1.0,0.59236,40,2.838,9.223,6.530584096908569,5552.0
Q4_0,Which course includes learning about both prompt engineering and career pathways in generative AI?,multi-hop,Generative AI in Action,"The “Use Generative AI for Software Development” course includes learning about how AI can help write code and generate prompts. Additionally, it covers the job outlook and skills needed for success in AI-related roles. This course provides a combination of prompt engineering and career pathways within the domain.",0.0,0.11320754716981131,12.5,0.830916702747345,0.49744192,1.0,0.6404683,48,2.871,10.188,6.882104396820068,5546.24
Q4_0,Which course teaches how to switch programming languages and fix code using AI tools?,multi-hop,Use Generative AI for Software Development Using IBM watsonx™,"The course titled “Use Generative AI for Software Development Using IBM watsonx” teaches how to switch programming languages and fix code using AI tools. It covers techniques like machine learning and AI ethics, providing practice with IBM watsonx to generate and modify code. This course offers a chance to apply AI to common coding issues.",0.0936448933856215,0.28125,22.58064516129032,0.8919428586959839,0.8503233,0.0,0.7689642,55,2.712,11.443,7.101545810699463,5553.59
Q4_0,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,"The “Cybersecurity Fundamentals” course explains foundational cybersecurity concepts, including cyber threats and risk management. It covers topics like cryptography and approaches to prevent cyber attacks. This course also discusses the CIA triad and data privacy.",0.0,0.05128205128205128,5.405405405405406,0.8641003966331482,0.58620846,1.0,0.5736486,35,2.725,9.618,6.0092933177948,5552.91
Q4_0,Which is longer: 'Artificial Intelligence Fundamentals' or 'Getting Started with Artificial Intelligence'?,comparative,'Artificial Intelligence Fundamentals' is longer with 10+ hours compared to 3 hours.,"'Artificial Intelligence Fundamentals' has a duration of 10+ hours, which is longer than 'Getting Started with Artificial Intelligence,' which has a duration of 3 hours. Therefore, 'Artificial Intelligence Fundamentals' is longer.",0.15257340614701648,0.37209302325581395,48.78048780487806,0.9323514103889465,0.9135519,0.0,0.3476478,31,2.827,9.822,6.298131704330444,5546.0
Q4_0,Which course is more comprehensive in duration: 'Machine Learning for Data Science Projects' or 'Data Fundamentals'?,comparative,'Machine Learning for Data Science Projects' with 20+ hours is more comprehensive than 'Data Fundamentals' with 7 hours.,"""Machine Learning for Data Science Projects"" has a duration of 20+ hours, which is more comprehensive than ""Data Fundamentals"" which has a duration of 7 hours. “Getting Started with Data” has a duration of 3 hours.",0.15331320282974648,0.5925925925925926,66.66666666666666,0.9479946494102478,0.8501755,0.0,0.42677724,36,2.739,9.826,6.701413869857788,5543.55
Q4_0,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,"‘Cybersecurity Fundamentals’ takes 7.5 hours, while ‘Getting Started with Cybersecurity’ only takes 3 hours. Therefore, ‘Cybersecurity Fundamentals’ requires more time to complete.",0.0,0.4444444444444444,52.94117647058824,0.9199046492576599,0.8956934,0.0,0.44962972,22,2.803,9.414,6.157546043395996,5552.38
Q4_0,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.","'Journey to Cloud: Orchestrating Your Solution' is 20+ hours long, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours long. Therefore, 'Journey to Cloud: Orchestrating Your Solution' is longer than 'Journey to Cloud: Envisioning Your Solution'.",0.47418021384980197,0.6666666666666667,66.66666666666667,0.9592631459236145,0.9227108,0.0,0.36165404,37,2.934,11.411,7.470318794250488,5545.75
Q4_0,Which course is shorter: 'Build Your First Chatbot Using IBM watsonx™' or 'Generative AI in Action'?,comparative,'Build Your First Chatbot Using IBM watsonx™' is shorter with 60 minutes compared to 'Generative AI in Action' with 5+ hours.,"Both courses have a duration of 60 minutes. “Build Your First Chatbot Using IBM watsonx™” and “IBM Granite Models for Software Development” are both 60 minutes. Therefore, neither course is shorter.",0.13009868453084908,0.34615384615384615,35.29411764705882,0.9081889986991882,0.7888851,0.0,0.5960859,31,2.819,8.986,6.6469035148620605,5555.04
Q4_0,Which course teaches quantum computing with IBM Qiskit?,unanswerable,N/A,"I don't know which course specifically teaches quantum computing with IBM Qiskit. The provided contexts focus on AI, data classification, and chatbots using IBM watsonx. These courses do not cover quantum computing.",0.0,0.0,0.0,0.7727050185203552,-0.07306339,0.0,0.37270284,32,2.637,9.306,5.86543345451355,5546.07
Q4_0,What is the cost of the 'Artificial Intelligence Fundamentals' course?,unanswerable,N/A,"I cannot find the cost of the 'Artificial Intelligence Fundamentals' course in the provided context. The context describes various AI-related courses, but it does not include pricing information.",0.0,0.0,0.0,0.7702195644378662,-0.06851692,0.0,0.3521544,28,2.824,8.089,5.770540475845337,5544.09
Q4_0,Which course is available in German and focuses on blockchain?,unanswerable,N/A,"I don't know which course is available in German and focuses on blockchain. The provided context describes courses related to artificial intelligence, data science, and fundamentals, but none mention a course offered in German specifically focused on blockchain.",0.0,0.048780487804878044,0.0,0.773373544216156,0.012372453,0.0,0.2198935,38,2.841,8.904,6.176390171051025,5552.7
Q4_0,Who is the instructor of the 'Getting Started with Cybersecurity' course?,unanswerable,N/A,"I don't have information about the instructor for the 'Getting Started with Cybersecurity' course. The provided context only details the course’s content, duration, and target audience.",0.0,0.0,0.0,0.7728610038757324,-0.0043622255,0.0,0.5596095,26,2.809,7.839,5.796509742736816,5546.78
Q4_0,What is the ISBN number of the textbook used in the 'Data Fundamentals' course?,unanswerable,N/A,"I'm sorry, but the context does not provide the ISBN number of the textbook used in the 'Data Fundamentals' course. It only lists details about various data-related credentials and courses.",0.0,0.0,0.0,0.7754029631614685,0.0009081736,0.0,0.36967826,30,3.013,7.856,6.301366090774536,5553.41
Q8_0,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,The total duration of the course 'Build Your First Chatbot Using IBM watsonx™' is 60 minutes. This course covers creating conversational chatbots and applying Natural Language Processing. It includes a hands-on simulation using IBM watsonx to build a simple chatbot.,0.0,0.13043478260869565,19.51219512195122,0.8423908352851868,0.3651937,1.0,0.69436085,40,10.969,3.372,18.08416247367859,5546.89
Q8_0,Which course introduces the fundamentals of text-to-speech technology using IBM watsonx?,factual,Explore Text to Speech Using IBM watson®,"The course titled ""Explore Text to Speech Using IBM watsonx"" introduces the fundamentals of text-to-speech technology. It utilizes a hands-on simulation with IBM watsonx to help you create and refine your own AI-powered voice. This course is designed for registered learners and covers the basics of TTS technology.",0.08460008059515839,0.20338983050847456,23.52941176470588,0.86688232421875,0.7466431,0.0,0.7582801,48,3.003,6.449,11.179200649261475,5548.06
Q8_0,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,The credential area of the course 'Getting Started with Cybersecurity' is Cybersecurity. It provides a foundational understanding of cybersecurity key elements and threats.,0.0,0.08333333333333333,9.523809523809524,0.8355314135551453,0.6585012,1.0,0.6752852,23,3.182,4.934,7.222151517868042,5554.41
Q8_0,Which course teaches you how to classify data using IBM Granite models?,factual,Classifying Data Using IBM Granite,"The course titled ""Classifying Data Using IBM Granite"" teaches you how to classify data using IBM Granite models. It covers selecting a model, examining prompts, and troubleshooting code. This course is designed for registered learners and lasts 60 minutes.",0.07439991547203502,0.22727272727272727,23.80952380952381,0.8718826770782471,0.87045217,1.0,0.64076006,39,2.932,6.083,9.211574792861938,5564.27
Q8_0,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,"The 'Artificial Intelligence Fundamentals' course takes 10+ hours to complete. It demonstrates knowledge of AI concepts like natural language processing and machine learning. However, the exact duration isn’t specified in the provided context.",0.0,0.1111111111111111,12.5,0.845808744430542,0.40647954,1.0,0.4219317,33,3.377,5.587,9.269424676895142,5547.82
Q8_0,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,"The course titled ""Build Your First Chatbot Using IBM watsonx” involves hands-on simulation and uses IBM watsonx for chatbot creation. It teaches you how to create conversational chatbots that understand and respond to natural language. Through a simulation, you will get a chance to practice generating code with IBM watsonx.",0.08143605172650818,0.24137931034482762,22.22222222222222,0.8850412368774414,0.8303898,0.0,0.7533811,50,2.89,7.088,10.94590711593628,5548.3
Q8_0,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,"The ""Getting Started with Threat Intelligence and Hunting"" course discusses both cybersecurity threat intelligence and hands-on learning activities. It includes concepts, methods, and tools related to the threat intelligence and hunting domain. This course offers practical experience alongside theoretical knowledge.",0.11835581533042372,0.2916666666666667,31.11111111111111,0.8893852829933167,0.81011474,1.0,0.5841887,40,3.184,5.809,9.582327127456665,5556.02
Q8_0,Which course includes learning about both prompt engineering and career pathways in generative AI?,multi-hop,Generative AI in Action,The “Use Generative AI for Software Development” course includes learning about prompt engineering and career pathways in generative AI. It covers how AI can assist with code generation and provides insights into the job outlook within the AI field. This course also touches on AI ethics and the applications of AI.,0.0,0.10909090909090909,11.76470588235294,0.8290966153144836,0.49625412,1.0,0.6436584,51,3.09,6.557,10.260668516159058,5555.39
Q8_0,Which course teaches how to switch programming languages and fix code using AI tools?,multi-hop,Use Generative AI for Software Development Using IBM watsonx™,"The “Use Generative AI for Software Development” course teaches how to switch programming languages and fix code using AI tools. It covers techniques like machine learning and deep learning to assist with code modification. Additionally, the course utilizes IBM watsonx for code generation and problem-solving.",0.04928412630671678,0.32727272727272727,23.076923076923077,0.8938658237457275,0.76231813,0.0,0.70099676,45,2.987,6.345,10.011993646621704,5555.79
Q8_0,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,"The “Cybersecurity Fundamentals” course explains cybersecurity concepts, including cyber threat groups and common approaches to prevent cyber attacks. It also covers topics like cryptography and overall cyber security risk management strategies. Furthermore, this course discusses the CIA triad and how organizations approach data privacy.",0.0,0.04166666666666667,4.347826086956521,0.8621400594711304,0.57888997,1.0,0.64048934,44,2.987,6.672,9.557084321975708,5555.76
Q8_0,Which is longer: 'Artificial Intelligence Fundamentals' or 'Getting Started with Artificial Intelligence'?,comparative,'Artificial Intelligence Fundamentals' is longer with 10+ hours compared to 3 hours.,"'Artificial Intelligence Fundamentals' is longer than 'Getting Started with Artificial Intelligence', as it has a duration of 10+ hours compared to 3 hours. The other provided credentials do not offer sufficient length comparisons.",0.2797064755981881,0.5333333333333333,55.81395348837209,0.937960147857666,0.874614,0.0,0.4285209,33,3.301,5.758,9.057127714157104,5548.18
Q8_0,Which course is more comprehensive in duration: 'Machine Learning for Data Science Projects' or 'Data Fundamentals'?,comparative,'Machine Learning for Data Science Projects' with 20+ hours is more comprehensive than 'Data Fundamentals' with 7 hours.,"“Machine Learning for Data Science Projects” has a duration of 20+ hours, which is more comprehensive than “Data Fundamentals” at 7 hours. “Getting Started with Data” has a duration of 3 hours. Therefore, “Machine Learning for Data Science Projects” is the most extensive course.",0.1343358202203811,0.5161290322580644,47.45762711864407,0.9262961149215698,0.8616468,0.0,0.48068306,44,3.174,6.558,11.014316082000732,5545.56
Q8_0,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,"""Cybersecurity Fundamentals"" takes 7.5 hours, while ""Getting Started with Cybersecurity"" takes 3 hours. Therefore, ""Cybersecurity Fundamentals"" requires more time to complete.",0.0,0.4571428571428572,66.66666666666667,0.933419942855835,0.90326977,0.0,0.42947924,21,3.25,5.951,8.554796695709229,5556.12
Q8_0,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.","Yes, ""Journey to Cloud: Orchestrating Your Solution"" is longer than ""Journey to Cloud: Envisioning Your Solution."" The former has a duration of 20+ hours, while the latter is only 5 hours long.",0.27374470067207335,0.6538461538461537,81.63265306122449,0.9608973264694214,0.9563638,0.0,0.36394548,32,2.989,6.273,9.564776420593262,5548.34
Q8_0,Which course is shorter: 'Build Your First Chatbot Using IBM watsonx™' or 'Generative AI in Action'?,comparative,'Build Your First Chatbot Using IBM watsonx™' is shorter with 60 minutes compared to 'Generative AI in Action' with 5+ hours.,"'Build Your First Chatbot Using IBM watsonx™' is a 60-minute course, while 'IBM Granite Models for Software Development' is also 60 minutes. Both courses have the same duration. Therefore, neither course is shorter than the other.",0.18186362944936618,0.3448275862068966,40.74074074074073,0.917442798614502,0.77856946,0.0,0.60684013,36,3.371,5.754,10.730545282363892,5549.66
Q8_0,Which course teaches quantum computing with IBM Qiskit?,unanswerable,N/A,"I do not have enough information to answer which course teaches quantum computing with IBM Qiskit. The provided context focuses on AI-related courses, including generative AI and natural language processing. These courses do not cover quantum computing.",0.0,0.0,0.0,0.7650861740112305,-0.041506812,0.0,0.40027922,37,2.991,5.915,8.861791849136353,5548.8
Q8_0,What is the cost of the 'Artificial Intelligence Fundamentals' course?,unanswerable,N/A,"I do not have information about the cost of the 'Artificial Intelligence Fundamentals' course. The provided context describes various AI courses, but it does not include pricing details.",0.0,0.0,0.0,0.7721843123435974,-0.064022124,0.0,0.36097378,28,3.33,5.257,8.00037145614624,5548.88
Q8_0,Which course is available in German and focuses on blockchain?,unanswerable,N/A,"I do not have enough information to answer your question. The provided context describes courses focused on various aspects of AI and data science, but none are specifically available in German and focus on blockchain.",0.0,0.0,0.0,0.7693809270858765,0.014091559,0.0,0.23851633,35,3.317,5.263,8.466998100280762,5546.07
Q8_0,Who is the instructor of the 'Getting Started with Cybersecurity' course?,unanswerable,N/A,"I don't know who the instructor of the 'Getting Started with Cybersecurity' course is. The provided context only includes details about the course’s content, duration, and description. It does not specify the instructor’s name.",0.0,0.0,0.0,0.769392192363739,0.021734178,0.0,0.5424888,34,3.194,5.669,9.397352933883667,5546.46
Q8_0,What is the ISBN number of the textbook used in the 'Data Fundamentals' course?,unanswerable,N/A,"I am sorry, but the provided context does not contain the ISBN number for the textbook used in the ‘Data Fundamentals’ course. The context describes various data-related credentials and modules, but it lacks specific details about course materials.",0.0,0.0,0.0,0.7741875648498535,0.0036424864,0.0,0.383018,38,3.298,5.694,9.560566902160645,5548.6
